,ETF,Ticker,Technical Action,Score
215,SPY,PH,Sell,1.9031988336118122
212,SPY,BAX,Sell,1.2187747503550668
77,SPY,CI,Buy,0.7365819105504201
71,SPY,ADP,Sell,-0.19895284829258664
81,SPY,CB,Sell,-0.31015648166312104
227,SPY,PPG,Sell,-1.4192909636030544
86,SPY,ADI,Sell,-1.6748066432844464
173,SPY,NXPI,Buy,-1.8575535835106962
224,SPY,HAL,Sell,-2.6661129959991037
214,SPY,YUM,Buy,-4.5164563958837025
221,SPY,TT,Sell,-6.006170576047316
120,SPY,FIS,Buy,-6.20046577982484
443,SPY,BWA,Buy,-6.5457618865043745
305,SPY,LEN,Buy,-7.76287062248222
490,SPY,AOS,Buy,-7.7764796619109395
283,SPY,MKC,Sell,-7.903610177096351
122,SPY,WM,Sell,-9.474956998023636
123,SPY,EQIX,Buy,-9.939462555781738
63,SPY,ORCL,Buy,-10.945817037733693
28,SPY,ABT,Sell,-11.214597250048916
287,SPY,ROK,Sell,-11.308671080742453
296,SPY,EBAY,Sell,-11.490789971159941
35,SPY,WMT,Sell,-11.631467947847334
197,SPY,TEL,Sell,-12.706862131267084
213,SPY,MCHP,Sell,-13.72478653548864
102,SPY,NOC,Buy,-13.747808734769794
354,SPY,BR,Sell,-14.848206908863528
229,SPY,PCAR,Sell,-14.868174512728814
281,SPY,WTW,Sell,-14.97684459607574
246,SPY,AWK,Buy,-15.17764312070068
458,SPY,AIZ,Sell,-15.448568480938388
380,SPY,APA,Sell,-15.670379003405028
45,SPY,LIN,Sell,-16.3859900238403
226,SPY,NUE,Sell,-16.955392109179435
235,SPY,HES,Buy,-17.647575169915637
361,SPY,MRO,Sell,-17.946084425865607
394,SPY,AVY,Sell,-18.047089248675373
495,SPY,FOX,Sell,-18.12330097911283
194,SPY,CTSH,Sell,-18.53976672868728
90,SPY,MMC,Sell,-19.567478543646125
386,SPY,CBOE,Sell,-19.906788602772384
337,SPY,RJF,Sell,-21.467080026125796
99,SPY,BDX,Sell,-21.78583985798251
499,SPY,NCLH,Sell,-22.283992168770645
444,SPY,HST,Sell,-22.298560030729977
256,SPY,RSG,Sell,-22.346658349161434
473,SPY,PNR,Sell,-22.68526934476464
303,SPY,GWW,Sell,-22.914907093800768
453,SPY,FOXA,Sell,-23.854445666565645
127,SPY,ICE,Sell,-23.961254016754364
431,SPY,FBHS,Sell,-24.206293606775404
249,SPY,ROST,Sell,-24.411885115814876
6,SPY,UNH,Buy,-25.677385050317216
181,SPY,STZ,Buy,-25.70173887853028
410,SPY,CTXS,Buy,-26.18380380350307
237,SPY,OTIS,Sell,-26.67809999522917
463,SPY,ALLE,Sell,-27.15399248073031
190,SPY,MSI,Sell,-28.03693908345997
401,SPY,LDOS,Sell,-28.19198121964337
267,SPY,ABC,Buy,-28.284101050529177
365,SPY,DOV,Sell,-28.433743665047658
78,SPY,AXP,Sell,-28.894252477038368
366,SPY,MOS,Sell,-29.990212756241455
238,SPY,CARR,Sell,-29.991454801129002
469,SPY,LW,Sell,-30.365292522356953
76,SPY,DE,Sell,-30.847653155124153
186,SPY,AJG,Sell,-30.85976881132016
439,SPY,PHM,Sell,-31.34041051482828
67,SPY,SCHW,Sell,-32.443622676596824
466,SPY,SEE,Sell,-34.33930245573244
30,SPY,ACN,Sell,-35.28663633705593
106,SPY,CSX,Sell,-35.92186092172856
19,SPY,LLY,Sell,-36.17973990703641
323,SPY,CEG,Sell,-36.70514243795208
178,SPY,CTVA,Sell,-37.02421722406018
61,SPY,ELV,Buy,-37.14210618554422
358,SPY,EXPD,Buy,-39.24510500298539
292,SPY,CHD,Sell,-39.462825135143085
104,SPY,SYK,Sell,-39.549055403399564
121,SPY,LRCX,Sell,-39.80274165066042
141,SPY,KLAC,Sell,-40.166871842298676
418,SPY,SBNY,Sell,-40.18386521170629
415,SPY,XYL,Sell,-40.25518315193269
395,SPY,IEX,Sell,-43.73926437554834
488,SPY,XRAY,Sell,-43.7683504305508
172,SPY,ECL,Sell,-44.600482430424385
145,SPY,MCK,Sell,-44.97300556001235
134,SPY,OXY,Buy,-45.34557868643396
270,SPY,DHI,Buy,-45.738754027869696
494,SPY,NWS,Sell,-45.75662289861023
182,SPY,APH,Sell,-46.687481337352544
440,SPY,NLSN,Sell,-46.87363640210246
485,SPY,NWSA,Sell,-47.20788050293122
289,SPY,CDW,Sell,-47.85491507277064
398,SPY,JKHY,Sell,-48.020581841012856
374,SPY,POOL,Sell,-48.87012257406585
179,SPY,HCA,Sell,-49.28510090366022
271,SPY,LH,Buy,-49.884857669202084
491,SPY,ROL,Buy,-50.866838743777684
381,SPY,DPZ,Buy,-51.202769725989604
202,SPY,CTAS,Sell,-51.27025891968532
314,SPY,VMC,Sell,-53.9903658832476
419,SPY,FDS,Sell,-54.25183396328559
209,SPY,MSCI,Sell,-54.65262146471605
376,SPY,JBHT,Sell,-55.18122079487532
116,SPY,DG,Buy,-55.18818372599689
295,SPY,BALL,Sell,-55.20211822711911
82,SPY,AMAT,Sell,-55.24052001246109
456,SPY,NDSN,Sell,-55.52988778744616
126,SPY,SHW,Sell,-57.94470305343973
461,SPY,GL,Buy,-58.56127081504088
1,SPY,MSFT,Buy,-58.74332358170962
51,SPY,NKE,Sell,-58.8191116091422
413,SPY,WRB,Sell,-59.63538444991538
176,SPY,MAR,Sell,-60.273125998388664
320,SPY,STE,Sell,-62.764715494183925
118,SPY,AON,Buy,-62.88373585701022
262,SPY,AME,Sell,-63.38681087984697
117,SPY,EL,Buy,-63.60743533401246
60,SPY,SPGI,Sell,-63.80346069408336
26,SPY,COST,Buy,-64.87100036408337
119,SPY,HUM,Buy,-65.27921145063684
467,SPY,MKTX,Sell,-65.37656837330734
154,SPY,MCO,Sell,-65.45605151190516
279,SPY,ZBH,Sell,-65.65697389331308
200,SPY,SBAC,Buy,-65.8943298999327
248,SPY,ALB,Sell,-66.35284913601961
204,SPY,GPN,Sell,-66.44005707473379
391,SPY,BRO,Sell,-66.9713914448046
111,SPY,MU,Sell,-67.77274053272754
367,SPY,MPWR,Sell,-68.74699397538453
324,SPY,MLM,Sell,-70.14764645832678
373,SPY,WAB,Buy,-70.57036292285252
230,SPY,VRSK,Sell,-71.03195553058052
13,SPY,V,Buy,-71.19723815002581
286,SPY,EFX,Buy,-71.95763876776479
348,SPY,J,Sell,-72.02977027755084
0,SPY,AAPL,Sell,-74.63987786758375
203,SPY,RMD,Buy,-75.24680534340791
83,SPY,ZTS,Sell,-76.69982323874844
251,SPY,FRC,Buy,-76.78596414919024
64,SPY,INTU,Sell,-77.2922814032621
113,SPY,ATVI,Buy,-77.56617670026262
198,SPY,EA,Buy,-77.85264318689332
493,SPY,UHS,Sell,-77.9301798814492
207,SPY,HLT,Sell,-78.6732993837502
17,SPY,MA,Buy,-79.96725051290348
187,SPY,A,Buy,-80.24009841314641
101,SPY,PGR,Buy,-80.4020194673736
158,SPY,ROP,Buy,-82.25177631738549
422,SPY,L,Sell,-82.83282821377553
293,SPY,ODFL,Sell,-84.3821962939602
370,SPY,NDAQ,Sell,-85.57196202790026
343,SPY,TER,Sell,-88.27297608005168
406,SPY,TFX,Sell,-88.53674632781008
316,SPY,FTV,Sell,-89.78795870274867
362,SPY,PWR,Buy,-89.95057814660072
97,SPY,GE,Sell,-91.95400466444377
400,SPY,HWM,Sell,-92.78086429453295
38,SPY,DHR,Sell,-93.61724756549137
481,SPY,CCL,Sell,-93.64270555544215
159,SPY,AZO,Sell,-94.90003608990594
98,SPY,VRTX,Buy,-96.38994699223309
492,SPY,RCL,Sell,-96.46102925646649
25,SPY,TMO,Buy,-96.99309126001877
144,SPY,CNC,Sell,-98.75033059760285
426,SPY,TECH,Sell,-99.00292346548282
378,SPY,NVR,Sell,-99.07891816949135
502,SPY,VNT,Sell,-99.10736022453963
191,SPY,DLTR,Sell,-100.43730151429972
330,SPY,IR,Sell,-101.09846257452155
274,SPY,ON,Buy,-101.93242861520173
369,SPY,MOH,Sell,-102.26830122443546
294,SPY,ANET,Sell,-103.72306020436264
164,SPY,ORLY,Sell,-103.89998928363575
500,SPY,PVH,Sell,-103.96669313941399
263,SPY,ENPH,Sell,-104.72785685601994
407,SPY,LYV,Sell,-104.82699538895595
140,SPY,SNPS,Sell,-105.16563209110971
317,SPY,PKI,Buy,-105.4655572584399
93,SPY,BKNG,Sell,-106.12223906377352
8,SPY,NVDA,Sell,-106.43107497593586
387,SPY,TXT,Sell,-106.44096617592014
167,SPY,CDNS,Sell,-106.72725215406949
5,SPY,TSLA,Sell,-106.7972574093388
236,SPY,TDG,Sell,-107.62686912207943
110,SPY,REGN,Sell,-108.14958637475138
291,SPY,WST,Sell,-108.32385690636754
332,SPY,SEDG,Buy,-108.70145032260737
308,SPY,ULTA,Buy,-109.09003126947918
4,SPY,GOOG,Sell,-110.58811595081313
3,SPY,GOOGL,Sell,-110.62519905749026
454,SPY,MGM,Sell,-110.77408460814013
84,SPY,TMUS,Buy,-110.78382816415582
368,SPY,URI,Sell,-111.13350003344486
423,SPY,LVS,Buy,-111.40694989717989
250,SPY,KEYS,Sell,-111.44228970738209
402,SPY,INCY,Sell,-111.72243107221756
52,SPY,AMD,Sell,-111.92267292065429
412,SPY,UAL,Sell,-112.17025416550976
133,SPY,FISV,Sell,-112.25796628464487
464,SPY,HSIC,Sell,-112.76614708259935
357,SPY,EPAM,Sell,-112.85178598891748
302,SPY,DAL,Sell,-112.88369411845511
432,SPY,PTC,Buy,-113.3325729715603
168,SPY,IQV,Sell,-113.46179764739269
189,SPY,CMG,Sell,-113.53814445355233
278,SPY,SIVB,Sell,-113.65661120379
435,SPY,AAL,Sell,-113.87466502164328
355,SPY,VRSN,Sell,-113.90718692652206
171,SPY,FTNT,Sell,-113.9080982172789
273,SPY,CPRT,Sell,-114.09374221853126
2,SPY,AMZN,Sell,-114.3437655464474
290,SPY,CBRE,Buy,-114.40939126041951
321,SPY,IT,Sell,-114.46437024411739
382,SPY,EXPE,Sell,-114.53424748757078
483,SPY,ALK,Sell,-114.63892900341251
130,SPY,BSX,Sell,-114.67314471274118
389,SPY,ABMD,Sell,-114.68007819231495
307,SPY,CTLT,Buy,-114.69958944519473
371,SPY,FLT,Sell,-115.02784126459376
193,SPY,MNST,Sell,-115.16756873940446
68,SPY,NOW,Sell,-115.22403879677721
89,SPY,BA,Buy,-115.64775117444687
482,SPY,WYNN,Sell,-115.77870424939874
353,SPY,TDY,Sell,-115.78522872771175
427,SPY,WDC,Sell,-115.85801970051095
315,SPY,TTWO,Sell,-115.91533717662705
421,SPY,PAYC,Sell,-115.93981915034749
360,SPY,KMX,Buy,-116.26991623714085
114,SPY,EW,Sell,-116.29808537373911
449,SPY,FFIV,Sell,-116.54729959965091
266,SPY,LUV,Sell,-116.80866522256301
147,SPY,MRNA,Sell,-116.84103406469352
228,SPY,ILMN,Sell,-116.91084386024507
329,SPY,HOLX,Sell,-117.01864981226908
416,SPY,TYL,Sell,-117.23509656335845
459,SPY,ETSY,Sell,-117.63614937557553
239,SPY,TWTR,Sell,-117.71672435030541
448,SPY,CZR,Sell,-117.83866655365605
429,SPY,GNRC,Sell,-117.9616226031205
36,SPY,CRM,Sell,-118.13454109346819
359,SPY,AKAM,Sell,-118.30400503034724
146,SPY,GM,Sell,-118.58796939325022
220,SPY,DXCM,Sell,-118.6968273452137
299,SPY,ANSS,Sell,-118.74078990137679
364,SPY,TRMB,Sell,-118.83108816738329
175,SPY,ADSK,Sell,-119.87234909008507
472,SPY,DXC,Sell,-120.00890432417569
254,SPY,APTV,Sell,-120.03885529355051
363,SPY,COO,Sell,-120.18459468350169
32,SPY,ADBE,Buy,-120.4052709938316
487,SPY,PENN,Sell,-121.10063140304233
257,SPY,MTD,Sell,-121.36321962877625
326,SPY,WAT,Sell,-121.43792904832077
477,SPY,DVA,Sell,-122.14861698756442
85,SPY,NFLX,Sell,-122.20381332352608
471,SPY,BIO,Sell,-122.62368687487474
489,SPY,MHK,Sell,-122.79855710927299
311,SPY,MTCH,Sell,-122.82045562865301
484,SPY,CDAY,Sell,-122.92093207705945
