,Ticker,Technical Action,Score
63,KEYS,Sell,0.6073808377050067
322,MDLZ,Buy,0.6070100813180933
146,IP,Sell,0.5879931571706248
508,OGN,Sell,0.5861560012024325
290,J,Sell,0.5748286260987183
343,CAG,Buy,0.5386040865179029
348,CPB,Buy,0.5196745759075146
312,PNR,Sell,0.5059957748187657
57,TEL,Sell,0.49039441873564915
486,LH,Buy,0.4765200123704305
287,DOV,Sell,0.4507353539534099
481,BIIB,Buy,0.4458277990008952
38,ORCL,Buy,0.4358492061268219
467,BDX,Sell,0.43535881384609676
231,FE,Sell,0.41448981651667727
137,PPG,Sell,0.4015046656253445
60,CTSH,Sell,0.39921147708349614
449,JNJ,Sell,0.38804912814904824
59,HPQ,Sell,0.3826721445280462
296,LDOS,Sell,0.3647536920161569
464,GILD,Sell,0.3614635594738443
103,ATVI,Buy,0.349872701393475
457,BMY,Sell,0.34763495888252405
505,HSIC,Sell,0.3465689319361762
489,ZBH,Sell,0.3254811793727117
107,NFLX,Sell,0.3094881543878185
83,AKAM,Sell,0.3060148392465937
239,AES,Sell,0.30583899051498126
362,WY,Sell,0.2898369970417025
19,MRO,Sell,0.27334801340370235
504,TFX,Sell,0.2548168275900291
136,DD,Sell,0.24684137940746653
241,NRG,Sell,0.24375159743599817
252,MMM,Sell,0.2411437877933268
299,MAS,Sell,0.24080383373215242
262,EMR,Sell,0.21637205634364653
341,K,Buy,0.20195164439212598
41,PYPL,Sell,0.20128599894327615
153,SEE,Sell,0.19828496006798957
512,DVA,Sell,0.18633827899604782
337,WBA,Sell,0.16988740400248903
313,AOS,Sell,0.165958311835742
92,CTXS,Buy,0.13150750214256535
324,MO,Sell,0.12477974292630423
96,JNPR,Sell,0.11289759036540697
90,NLOK,Sell,0.10701476294888576
265,JCI,Sell,0.06622863305026805
119,FOXA,Sell,0.054099091026882845
113,TTWO,Sell,0.009070525172244048
371,PEAK,Sell,-0.018462091379476298
71,HPE,Sell,-0.022092737389994177
104,VZ,Sell,-0.038552298161157295
263,LHX,Sell,-0.039065134195530815
108,CMCSA,Sell,-0.06430598629162049
143,AMCR,Sell,-0.11576068598234611
308,ALLE,Sell,-0.11912296546560441
116,OMC,Sell,-0.12144832326256316
28,CSCO,Sell,-0.13265588059745265
65,GLW,Buy,-0.14262832101737155
366,DRE,Sell,-0.1678584902948454
118,IPG,Sell,-0.18981052108992266
357,DLR,Sell,-0.20809635668106652
492,ALGN,Sell,-0.20937285270827966
122,FOX,Sell,-0.2226085597295595
86,STX,Sell,-0.2318567747467848
502,VTRS,Sell,-0.27727222847146993
335,KHC,Sell,-0.27889880517473853
97,DXC,Sell,-0.28705424670473245
460,MDT,Sell,-0.2932313207828793
132,FCX,Sell,-0.3134051144459172
123,DISH,Sell,-0.3165380248959164
497,DGX,Buy,-0.31732949632604057
307,NLSN,Sell,-0.461363812463382
195,PHM,Sell,-0.4890475929320137
120,LUMN,Sell,-0.5240100324598698
121,NWSA,Sell,-0.5305197297533784
84,TRMB,Sell,-0.5700702049736621
