,Date,ConsumerSentiment
651,2007-02-01,91.3
652,2007-03-01,88.4
653,2007-04-01,87.1
654,2007-05-01,88.3
655,2007-06-01,85.3
656,2007-07-01,90.4
657,2007-08-01,83.4
658,2007-09-01,83.4
659,2007-10-01,80.9
660,2007-11-01,76.1
661,2007-12-01,75.5
662,2008-01-01,78.4
663,2008-02-01,70.8
664,2008-03-01,69.5
665,2008-04-01,62.6
666,2008-05-01,59.8
667,2008-06-01,56.4
668,2008-07-01,61.2
669,2008-08-01,63.0
670,2008-09-01,70.3
671,2008-10-01,57.6
672,2008-11-01,55.3
673,2008-12-01,60.1
674,2009-01-01,61.2
675,2009-02-01,56.3
676,2009-03-01,57.3
677,2009-04-01,65.1
678,2009-05-01,68.7
679,2009-06-01,70.8
680,2009-07-01,66.0
681,2009-08-01,65.7
682,2009-09-01,73.5
683,2009-10-01,70.6
684,2009-11-01,67.4
685,2009-12-01,72.5
686,2010-01-01,74.4
687,2010-02-01,73.6
688,2010-03-01,73.6
689,2010-04-01,72.2
690,2010-05-01,73.6
691,2010-06-01,76.0
692,2010-07-01,67.8
693,2010-08-01,68.9
694,2010-09-01,68.2
695,2010-10-01,67.7
696,2010-11-01,71.6
697,2010-12-01,74.5
698,2011-01-01,74.2
699,2011-02-01,77.5
700,2011-03-01,67.5
701,2011-04-01,69.8
702,2011-05-01,74.3
703,2011-06-01,71.5
704,2011-07-01,63.7
705,2011-08-01,55.8
706,2011-09-01,59.5
707,2011-10-01,60.8
708,2011-11-01,63.7
709,2011-12-01,69.9
710,2012-01-01,75.0
711,2012-02-01,75.3
712,2012-03-01,76.2
713,2012-04-01,76.4
714,2012-05-01,79.3
715,2012-06-01,73.2
716,2012-07-01,72.3
717,2012-08-01,74.3
718,2012-09-01,78.3
719,2012-10-01,82.6
720,2012-11-01,82.7
721,2012-12-01,72.9
722,2013-01-01,73.8
723,2013-02-01,77.6
724,2013-03-01,78.6
725,2013-04-01,76.4
726,2013-05-01,84.5
727,2013-06-01,84.1
728,2013-07-01,85.1
729,2013-08-01,82.1
730,2013-09-01,77.5
731,2013-10-01,73.2
732,2013-11-01,75.1
733,2013-12-01,82.5
734,2014-01-01,81.2
735,2014-02-01,81.6
736,2014-03-01,80.0
737,2014-04-01,84.1
738,2014-05-01,81.9
739,2014-06-01,82.5
740,2014-07-01,81.8
741,2014-08-01,82.5
742,2014-09-01,84.6
743,2014-10-01,86.9
744,2014-11-01,88.8
745,2014-12-01,93.6
746,2015-01-01,98.1
747,2015-02-01,95.4
748,2015-03-01,93.0
749,2015-04-01,95.9
750,2015-05-01,90.7
751,2015-06-01,96.1
752,2015-07-01,93.1
753,2015-08-01,91.9
754,2015-09-01,87.2
755,2015-10-01,90.0
756,2015-11-01,91.3
757,2015-12-01,92.6
758,2016-01-01,92.0
759,2016-02-01,91.7
760,2016-03-01,91.0
761,2016-04-01,89.0
762,2016-05-01,94.7
763,2016-06-01,93.5
764,2016-07-01,90.0
765,2016-08-01,89.8
766,2016-09-01,91.2
767,2016-10-01,87.2
768,2016-11-01,93.8
769,2016-12-01,98.2
770,2017-01-01,98.5
771,2017-02-01,96.3
772,2017-03-01,96.9
773,2017-04-01,97.0
774,2017-05-01,97.1
775,2017-06-01,95.0
776,2017-07-01,93.4
777,2017-08-01,96.8
778,2017-09-01,95.1
779,2017-10-01,100.7
780,2017-11-01,98.5
781,2017-12-01,95.9
782,2018-01-01,95.7
783,2018-02-01,99.7
784,2018-03-01,101.4
785,2018-04-01,98.8
786,2018-05-01,98.0
787,2018-06-01,98.2
788,2018-07-01,97.9
789,2018-08-01,96.2
790,2018-09-01,100.1
791,2018-10-01,98.6
792,2018-11-01,97.5
793,2018-12-01,98.3
794,2019-01-01,91.2
795,2019-02-01,93.8
796,2019-03-01,98.4
797,2019-04-01,97.2
798,2019-05-01,100.0
799,2019-06-01,98.2
800,2019-07-01,98.4
801,2019-08-01,89.8
802,2019-09-01,93.2
803,2019-10-01,95.5
804,2019-11-01,96.8
805,2019-12-01,99.3
806,2020-01-01,99.8
807,2020-02-01,101.0
808,2020-03-01,89.1
809,2020-04-01,71.8
810,2020-05-01,72.3
811,2020-06-01,78.1
812,2020-07-01,72.5
813,2020-08-01,74.1
814,2020-09-01,80.4
815,2020-10-01,81.8
816,2020-11-01,76.9
817,2020-12-01,80.7
818,2021-01-01,79.0
819,2021-02-01,76.8
820,2021-03-01,84.9
821,2021-04-01,88.3
822,2021-05-01,82.9
823,2021-06-01,85.5
824,2021-07-01,81.2
825,2021-08-01,70.3
826,2021-09-01,72.8
827,2021-10-01,71.7
828,2021-11-01,67.4
829,2021-12-01,70.6
830,2022-01-01,67.2
831,2022-02-01,62.8
832,2022-03-01,59.4
833,2022-04-01,65.2
834,2022-05-01,58.4
835,2022-06-01,50.0
836,2022-07-01,51.5
837,2022-08-01,58.2
838,2022-09-01,58.6
839,2022-10-01,59.9
840,2022-11-01,56.8
841,2022-12-01,59.7
842,2023-01-01,64.9
843,2023-02-01,67.0
844,2023-03-01,62.0
845,2023-04-01,63.5
