,Date,MarketPrice
181,2014-01-08,1837.49
182,2014-01-09,1838.13
183,2014-01-10,1842.37
184,2014-01-13,1819.2
185,2014-01-14,1838.88
186,2014-01-15,1848.38
187,2014-01-16,1845.89
188,2014-01-17,1838.7
189,2014-01-20,
190,2014-01-21,1843.8
191,2014-01-22,1844.86
192,2014-01-23,1828.46
193,2014-01-24,1790.29
194,2014-01-27,1781.56
195,2014-01-28,1792.5
196,2014-01-29,1774.2
197,2014-01-30,1794.19
198,2014-01-31,1782.59
199,2014-02-03,1741.89
200,2014-02-04,1755.2
201,2014-02-05,1751.64
202,2014-02-06,1773.43
203,2014-02-07,1797.02
204,2014-02-10,1799.84
205,2014-02-11,1819.75
206,2014-02-12,1819.26
207,2014-02-13,1829.83
208,2014-02-14,1838.63
209,2014-02-17,
210,2014-02-18,1840.76
211,2014-02-19,1828.75
212,2014-02-20,1839.78
213,2014-02-21,1836.25
214,2014-02-24,1847.61
215,2014-02-25,1845.12
216,2014-02-26,1845.16
217,2014-02-27,1854.29
218,2014-02-28,1859.45
219,2014-03-03,1845.73
220,2014-03-04,1873.91
221,2014-03-05,1873.81
222,2014-03-06,1877.03
223,2014-03-07,1878.04
224,2014-03-10,1877.17
225,2014-03-11,1867.63
226,2014-03-12,1868.2
227,2014-03-13,1846.34
228,2014-03-14,1841.13
229,2014-03-17,1858.83
230,2014-03-18,1872.25
231,2014-03-19,1860.77
232,2014-03-20,1872.01
233,2014-03-21,1866.52
234,2014-03-24,1857.44
235,2014-03-25,1865.62
236,2014-03-26,1852.56
237,2014-03-27,1849.04
238,2014-03-28,1857.62
239,2014-03-31,1872.34
240,2014-04-01,1885.52
241,2014-04-02,1890.9
242,2014-04-03,1888.77
243,2014-04-04,1865.09
244,2014-04-07,1845.04
245,2014-04-08,1851.96
246,2014-04-09,1872.18
247,2014-04-10,1833.08
248,2014-04-11,1815.69
249,2014-04-14,1830.61
250,2014-04-15,1842.98
251,2014-04-16,1862.31
252,2014-04-17,1864.85
253,2014-04-18,
254,2014-04-21,1871.89
255,2014-04-22,1879.55
256,2014-04-23,1875.39
257,2014-04-24,1878.61
258,2014-04-25,1863.4
259,2014-04-28,1869.43
260,2014-04-29,1878.33
261,2014-04-30,1883.95
262,2014-05-01,1883.68
263,2014-05-02,1881.14
264,2014-05-05,1884.66
265,2014-05-06,1867.72
266,2014-05-07,1878.21
267,2014-05-08,1875.63
268,2014-05-09,1878.48
269,2014-05-12,1896.65
270,2014-05-13,1897.45
271,2014-05-14,1888.53
272,2014-05-15,1870.85
273,2014-05-16,1877.86
274,2014-05-19,1885.08
275,2014-05-20,1872.83
276,2014-05-21,1888.03
277,2014-05-22,1892.49
278,2014-05-23,1900.53
279,2014-05-26,
280,2014-05-27,1911.91
281,2014-05-28,1909.78
282,2014-05-29,1920.03
283,2014-05-30,1923.57
284,2014-06-02,1924.97
285,2014-06-03,1924.24
286,2014-06-04,1927.88
287,2014-06-05,1940.46
288,2014-06-06,1949.44
289,2014-06-09,1951.27
290,2014-06-10,1950.79
291,2014-06-11,1943.89
292,2014-06-12,1930.11
293,2014-06-13,1936.16
294,2014-06-16,1937.78
295,2014-06-17,1941.99
296,2014-06-18,1956.98
297,2014-06-19,1959.48
298,2014-06-20,1962.87
299,2014-06-23,1962.61
300,2014-06-24,1949.98
301,2014-06-25,1959.53
302,2014-06-26,1957.22
303,2014-06-27,1960.96
304,2014-06-30,1960.23
305,2014-07-01,1973.32
306,2014-07-02,1974.62
307,2014-07-03,1985.44
308,2014-07-04,
309,2014-07-07,1977.65
310,2014-07-08,1963.71
311,2014-07-09,1972.83
312,2014-07-10,1964.68
313,2014-07-11,1967.57
314,2014-07-14,1977.1
315,2014-07-15,1973.28
316,2014-07-16,1981.57
317,2014-07-17,1958.12
318,2014-07-18,1978.22
319,2014-07-21,1973.63
320,2014-07-22,1983.53
321,2014-07-23,1987.01
322,2014-07-24,1987.98
323,2014-07-25,1978.34
324,2014-07-28,1978.91
325,2014-07-29,1969.95
326,2014-07-30,1970.07
327,2014-07-31,1930.67
328,2014-08-01,1925.15
329,2014-08-04,1938.99
330,2014-08-05,1920.21
331,2014-08-06,1920.24
332,2014-08-07,1909.57
333,2014-08-08,1931.59
334,2014-08-11,1936.92
335,2014-08-12,1933.75
336,2014-08-13,1946.72
337,2014-08-14,1955.18
338,2014-08-15,1955.06
339,2014-08-18,1971.74
340,2014-08-19,1981.6
341,2014-08-20,1986.51
342,2014-08-21,1992.37
343,2014-08-22,1988.4
344,2014-08-25,1997.92
345,2014-08-26,2000.02
346,2014-08-27,2000.12
347,2014-08-28,1996.74
348,2014-08-29,2003.37
349,2014-09-01,
350,2014-09-02,2002.28
351,2014-09-03,2000.72
352,2014-09-04,1997.65
353,2014-09-05,2007.71
354,2014-09-08,2001.54
355,2014-09-09,1988.44
356,2014-09-10,1995.69
357,2014-09-11,1997.45
358,2014-09-12,1985.54
359,2014-09-15,1984.13
360,2014-09-16,1998.98
361,2014-09-17,2001.57
