Unnamed: 0,ETF,Ticker,Technical Action,Score,Sector
27,XLF,MSCI,Sell,3.22235034700909,XLF
34,XLF,STT,Buy,3.0453535525184945,XLF
11,XLF,MMC,Buy,2.962577831315092,XLF
57,XLF,GL,Sell,2.6324747784998705,XLF
20,XLF,COF,Buy,2.0789618973210944,XLF
12,XLF,CME,Sell,2.0755074217032354,XLF
30,XLF,DFS,Buy,1.6205686853018513,XLF
54,XLF,MKTX,Sell,0.0595236785623746,XLF
32,XLF,TROW,Buy,-0.2101597433665449,XLF
4,XLF,MS,Buy,-0.5129611380047456,XLF
19,XLF,MCO,Buy,-3.925707492966144,XLF
20,XLV,REGN,Buy,27.28557375181597,XLV
37,XLV,MTD,Buy,22.58335044259989,XLV
24,XLV,MRNA,Buy,21.898931606952928,XLV
13,XLV,ELV,Buy,19.44000613710968,XLV
27,XLV,MCK,Buy,19.233239818918133,XLV
3,XLV,ABBV,Buy,18.714950969932517,XLV
1,XLV,JNJ,Sell,16.310123572818824,XLV
29,XLV,HCA,Buy,14.578111711519089,XLV
0,XLV,UNH,Sell,14.364059897608486,XLV
4,XLV,LLY,Buy,12.706047892897818,XLV
46,XLV,MOH,Sell,12.68235707023008,XLV
25,XLV,BSX,Buy,12.401437301923208,XLV
6,XLV,TMO,Sell,12.24959379188907,XLV
2,XLV,PFE,Buy,11.85526095829084,XLV
9,XLV,BMY,Sell,11.79085299164412,XLV
17,XLV,VRTX,Buy,11.54321605232957,XLV
44,XLV,CTLT,Buy,11.01102946514378,XLV
5,XLV,MRK,Buy,10.72395174458547,XLV
23,XLV,HUM,Buy,10.227392067482102,XLV
36,XLV,ILMN,Sell,9.99500487277931,XLV
16,XLV,GILD,Sell,9.84208537975612,XLV
52,XLV,VTRS,Sell,9.699724543766582,XLV
57,XLV,BIO,Sell,9.482475830416844,XLV
14,XLV,CI,Sell,9.40109328451315,XLV
22,XLV,EW,Buy,8.25794526018362,XLV
61,XLV,DVA,Buy,8.253967220989615,XLV
53,XLV,ABMD,Buy,8.1683918017294,XLV
50,XLV,COO,Sell,8.152474669281414,XLV
45,XLV,HOLX,Sell,8.01066591553467,XLV
60,XLV,UHS,Buy,7.827964834794425,XLV
42,XLV,WAT,Sell,7.338590367775977,XLV
35,XLV,DXCM,Sell,7.193677804962917,XLV
49,XLV,INCY,Buy,6.941461231094758,XLV
10,XLV,AMGN,Buy,6.741292287972358,XLV
30,XLV,A,Sell,6.530030420295879,XLV
8,XLV,DHR,Sell,6.493417601207868,XLV
51,XLV,TECH,Sell,6.23582706833641,XLV
18,XLV,ISRG,Buy,5.662229820810563,XLV
56,XLV,CRL,Sell,5.652683016240794,XLV
12,XLV,MDT,Sell,5.609188588393794,XLV
32,XLV,BAX,Sell,5.3279034339928,XLV
55,XLV,HSIC,Sell,5.222929021498755,XLV
26,XLV,CNC,Sell,4.747445242077627,XLV
33,XLV,BIIB,Buy,4.629437782505206,XLV
21,XLV,SYK,Buy,4.433062695794417,XLV
7,XLV,ABT,Sell,4.343741917476615,XLV
43,XLV,ALGN,Sell,4.227657457556566,XLV
28,XLV,IQV,Sell,4.205127169332397,XLV
15,XLV,ZTS,Buy,4.204845765390574,XLV
41,XLV,STE,Sell,4.1576983886388295,XLV
54,XLV,TFX,Sell,3.910888741385051,XLV
34,XLV,IDXX,Sell,3.635524975104021,XLV
39,XLV,WST,Sell,3.6210944277990897,XLV
31,XLV,RMD,Buy,3.6041184840396463,XLV
59,XLV,XRAY,Sell,3.5051762852952426,XLV
48,XLV,CAH,Sell,3.3425713569863484,XLV
38,XLV,LH,Sell,2.738383830162876,XLV
47,XLV,DGX,Buy,2.0951853650097285,XLV
11,XLV,CVS,Sell,1.5838597940226262,XLV
40,XLV,ZBH,Sell,1.256432583315847,XLV
19,XLV,BDX,Sell,0.7263682806035436,XLV
58,XLV,OGN,Buy,-16.55147917928416,XLV
42,XLI,URI,Sell,26.927440917080624,XLI
29,XLI,TDG,Buy,23.164852953656524,XLI
38,XLI,GWW,Sell,22.503819443615328,XLI
5,XLI,CAT,Sell,21.87275233693801,XLI
8,XLI,MMM,Buy,21.01381824863969,XLI
4,XLI,LMT,Buy,20.79116735144046,XLI
9,XLI,GE,Buy,19.745201800455437,XLI
0,XLI,RTX,Buy,16.7954829492795,XLI
22,XLI,PH,Sell,15.924923799319568,XLI
56,XLI,HWM,Buy,14.396685964425972,XLI
1,XLI,UPS,Sell,13.626291689876131,XLI
23,XLI,CARR,Buy,12.62477786332204,XLI
27,XLI,CMI,Buy,12.37898359088079,XLI
45,XLI,SWK,Sell,12.31929287630394,XLI
6,XLI,DE,Sell,12.24606303881158,XLI
44,XLI,IR,Buy,11.590473442882915,XLI
58,XLI,CHRW,Buy,11.583232516273728,XLI
33,XLI,CPRT,Buy,11.556525960237655,XLI
69,XLI,SPGI,Buy,11.51472495531587,XLI
51,XLI,XYL,Buy,11.379514420779836,XLI
52,XLI,LDOS,Buy,11.161235384524892,XLI
37,XLI,LUV,Sell,10.844192946069434,XLI
7,XLI,BA,Sell,10.455519579370652,XLI
14,XLI,FDX,Buy,10.420361204950602,XLI
48,XLI,WAB,Buy,10.366829038071703,XLI
53,XLI,GNRC,Buy,10.243523024405198,XLI
60,XLI,SNA,Sell,10.202455160765378,XLI
2,XLI,UNP,Sell,9.796476953382289,XLI
64,XLI,HII,Sell,9.6256326008745,XLI
54,XLI,TXT,Sell,9.39994237737794,XLI
3,XLI,HON,Buy,9.121123823217877,XLI
17,XLI,GD,Buy,8.937417115680013,XLI
68,XLI,ALK,Sell,8.77404741044501,XLI
41,XLI,PWR,Buy,8.596191131608517,XLI
66,XLI,PNR,Sell,8.104378416045506,XLI
13,XLI,NSC,Sell,8.017211912480022,XLI
10,XLI,NOC,Sell,8.013829567205466,XLI
20,XLI,CTAS,Buy,7.863997178809446,XLI
39,XLI,FTV,Sell,7.725393644200859,XLI
24,XLI,TT,Buy,7.593605273424211,XLI
18,XLI,EMR,Buy,7.570543826515507,XLI
16,XLI,ETN,Buy,7.553770795443695,XLI
30,XLI,FAST,Sell,7.257269404261876,XLI
31,XLI,RSG,Buy,7.069340247527779,XLI
65,XLI,ROL,Buy,6.826417445429845,XLI
34,XLI,EFX,Buy,6.757685170404852,XLI
67,XLI,AOS,Sell,6.754115693351041,XLI
61,XLI,AAL,Sell,6.705043888634737,XLI
11,XLI,CSX,Sell,6.5442291351221815,XLI
21,XLI,JCI,Buy,5.807418979123912,XLI
28,XLI,PCAR,Sell,5.771549651992933,XLI
46,XLI,J,Sell,5.747919746982662,XLI
49,XLI,JBHT,Sell,5.702484459495772,XLI
57,XLI,UAL,Buy,5.691273451067213,XLI
43,XLI,DOV,Buy,5.585783857964833,XLI
19,XLI,LHX,Buy,5.441327438976416,XLI
32,XLI,AME,Sell,5.392692853835976,XLI
36,XLI,ODFL,Sell,5.244998083139116,XLI
62,XLI,RHI,Sell,5.220784674265376,XLI
63,XLI,ALLE,Sell,5.193222875998987,XLI
12,XLI,WM,Buy,4.517421786902991,XLI
25,XLI,OTIS,Buy,4.091246298655697,XLI
40,XLI,DAL,Buy,3.651399233390043,XLI
59,XLI,NDSN,Sell,3.1212274487662115,XLI
47,XLI,EXPD,Buy,2.9024577017143174,XLI
50,XLI,IEX,Sell,2.820958271005682,XLI
15,XLI,ITW,Sell,2.650424925476296,XLI
35,XLI,ROK,Sell,1.4091439803927708,XLI
55,XLI,MAS,Sell,-5.052701151455311,XLI
26,XLI,VRSK,Buy,-9.495720412105838,XLI
16,XLB,MLM,Sell,25.88997406997361,XLB
0,XLB,LIN,Buy,17.709514343022796,XLB
3,XLB,NEM,Buy,15.978986582208988,XLB
9,XLB,IFF,Buy,12.92782073864011,XLB
7,XLB,DOW,Sell,11.995766702585255,XLB
20,XLB,IP,Buy,11.353307267852925,XLB
2,XLB,APD,Buy,11.292316993568557,XLB
17,XLB,AMCR,Buy,10.92918324948622,XLB
6,XLB,FCX,Buy,10.302177753866728,XLB
24,XLB,CE,Sell,8.617471239991009,XLB
13,XLB,LYB,Sell,8.504853249297085,XLB
26,XLB,WRK,Buy,8.1650890291308,XLB
10,XLB,DD,Buy,7.59400498895231,XLB
8,XLB,NUE,Sell,7.569804278323738,XLB
5,XLB,CTVA,Sell,7.566380211646971,XLB
12,XLB,ALB,Sell,6.914316361582754,XLB
14,XLB,BALL,Sell,6.7665516897268105,XLB
4,XLB,ECL,Buy,6.505622165975553,XLB
23,XLB,FMC,Sell,6.374953454467603,XLB
21,XLB,AVY,Buy,5.425885497490134,XLB
1,XLB,SHW,Sell,5.3705083374093405,XLB
25,XLB,EMN,Buy,4.873594383808571,XLB
15,XLB,VMC,Sell,4.796067978762638,XLB
22,XLB,PKG,Buy,4.782365502873997,XLB
19,XLB,MOS,Sell,3.964804559371713,XLB
18,XLB,CF,Sell,1.5762641274126965,XLB
11,XLB,PPG,Sell,0.5908713056165042,XLB
27,XLB,SEE,Sell,-10.152070556320238,XLB
3,XLRE,EQIX,Sell,22.45979334501772,XLRE
9,XLRE,SPG,Buy,18.73253454200274,XLRE
28,XLRE,VNO,Buy,18.1920239819136,XLRE
4,XLRE,PSA,Buy,18.00791059002915,XLRE
0,XLRE,AMT,Buy,17.405745489656763,XLRE
1,XLRE,PLD,Sell,14.11243034903952,XLRE
6,XLRE,WELL,Buy,12.915541180098575,XLRE
5,XLRE,O,Buy,12.247447070858907,XLRE
23,XLRE,BXP,Buy,12.030758685445331,XLRE
8,XLRE,SBAC,Sell,11.845649158977723,XLRE
24,XLRE,KIM,Buy,10.812989039918376,XLRE
2,XLRE,CCI,Sell,8.535678581585223,XLRE
13,XLRE,CBRE,Sell,8.399755270197979,XLRE
11,XLRE,AVB,Buy,7.943759243982354,XLRE
10,XLRE,VICI,Sell,7.89995163546744,XLRE
17,XLRE,VTR,Buy,7.490537113701154,XLRE
19,XLRE,ESS,Buy,7.333301390001022,XLRE
12,XLRE,WY,Sell,7.087380569178087,XLRE
26,XLRE,REG,Buy,7.055991631628194,XLRE
25,XLRE,HST,Sell,6.963341535509816,XLRE
7,XLRE,DLR,Buy,6.693363965190901,XLRE
27,XLRE,FRT,Buy,6.50979054863007,XLRE
21,XLRE,UDR,Buy,6.378052614957883,XLRE
15,XLRE,EXR,Buy,6.166799252911127,XLRE
20,XLRE,CPT,Buy,5.0297045811442365,XLRE
16,XLRE,ARE,Sell,4.675167854884428,XLRE
18,XLRE,MAA,Buy,2.9978161361427462,XLRE
14,XLRE,EQR,Buy,2.3279215169195413,XLRE
22,XLRE,IRM,Buy,-2.28094017801334,XLRE
5,XLK,AVGO,Buy,33.37202305191339,XLK
0,XLK,AAPL,Buy,28.514193828677342,XLK
2,XLK,NVDA,Buy,27.74573404434538,XLK
23,XLK,LRCX,Buy,26.28111539258981,XLK
1,XLK,MSFT,Buy,25.61128895535432,XLK
26,XLK,KLAC,Buy,17.280992561243895,XLK
65,XLK,WDC,Buy,14.794695793552972,XLK
50,XLK,TDY,Sell,14.722526017420224,XLK
62,XLK,STX,Buy,12.775932485538624,XLK
28,XLK,ROP,Buy,12.557886212959133,XLK
43,XLK,GLW,Buy,12.12365885894266,XLK
68,XLK,QRVO,Buy,11.61770135057347,XLK
67,XLK,PTC,Buy,11.423739951773968,XLK
25,XLK,FISV,Buy,11.393372256008714,XLK
61,XLK,TRMB,Sell,10.899964884829348,XLK
32,XLK,APH,Buy,10.837170989039508,XLK
8,XLK,ADBE,Buy,10.590084937782128,XLK
14,XLK,AMD,Buy,10.293688228625117,XLK
42,XLK,ENPH,Sell,10.269491115688112,XLK
15,XLK,INTU,Buy,10.210548465489744,XLK
70,XLK,JNPR,Buy,10.139356890857956,XLK
4,XLK,MA,Sell,10.123701690124411,XLK
10,XLK,INTC,Sell,10.076435817906704,XLK
13,XLK,IBM,Buy,9.837905413773422,XLK
6,XLK,CSCO,Sell,9.545165911041543,XLK
56,XLK,SEDG,Sell,9.512316264021653,XLK
54,XLK,ZBRA,Buy,9.120863601498629,XLK
27,XLK,SNPS,Buy,8.830410475128758,XLK
58,XLK,TER,Buy,8.807619889152562,XLK
49,XLK,HPE,Buy,8.70462154997894,XLK
22,XLK,MU,Buy,8.535464993718836,XLK
17,XLK,NOW,Buy,8.510935456690941,XLK
37,XLK,HPQ,Buy,8.36005202848259,XLK
71,XLK,DXC,Sell,8.33057928428046,XLK
34,XLK,PAYX,Sell,8.15445827312911,XLK
46,XLK,ANET,Buy,8.06880341694594,XLK
31,XLK,ADSK,Buy,7.997301477003742,XLK
33,XLK,FTNT,Sell,7.908779251649662,XLK
69,XLK,FFIV,Sell,7.903214897631194,XLK
