,Unnamed: 0,ETF,Ticker,Technical Action,Score,Sector
154,53,XLF,L,Buy,9.593174642726996,XLF
155,60,XLF,BEN,Sell,9.436747901528184,XLF
156,26,XLF,ALL,Buy,8.903753839119565,XLF
157,39,XLF,NDAQ,Buy,8.694128406307193,XLF
158,5,XLF,GS,Buy,8.548412779347492,XLF
159,16,XLF,USB,Sell,8.220330244791812,XLF
160,56,XLF,AIZ,Sell,8.161466996668546,XLF
161,21,XLF,MET,Buy,7.84961816195032,XLF
162,35,XLF,FITB,Buy,7.776963064364262,XLF
163,40,XLF,CFG,Buy,7.534299386785987,XLF
164,58,XLF,ZION,Buy,7.477405883079065,XLF
165,2,XLF,WFC,Buy,7.470092951127347,XLF
166,31,XLF,MTB,Buy,7.179231988529816,XLF
167,9,XLF,AXP,Buy,7.098579773774096,XLF
168,36,XLF,WTW,Sell,7.080150264877188,XLF
169,22,XLF,AIG,Buy,6.832554165593283,XLF
170,47,XLF,SYF,Buy,6.7190026824037705,XLF
171,42,XLF,RF,Buy,6.703086656635611,XLF
172,7,XLF,C,Buy,6.493731401103416,XLF
173,48,XLF,PFG,Sell,6.362494038033164,XLF
174,24,XLF,AJG,Buy,6.097602287699013,XLF
175,28,XLF,AFL,Buy,6.0920865202824,XLF
176,51,XLF,CBOE,Sell,5.656537215445675,XLF
177,37,XLF,HIG,Buy,5.519536539648959,XLF
178,29,XLF,BK,Buy,5.491344432013569,XLF
179,38,XLF,NTRS,Buy,5.427293250076316,XLF
180,44,XLF,CINF,Buy,5.145513934127394,XLF
181,3,XLF,SPGI,Buy,4.648427479477714,XLF
182,46,XLF,FDS,Sell,4.590376006844343,XLF
183,41,XLF,RJF,Buy,4.446630489649831,XLF
184,14,XLF,PNC,Buy,4.199595364453775,XLF
185,11,XLF,MMC,Buy,3.0805142261452017,XLF
186,27,XLF,MSCI,Sell,3.00109702274506,XLF
187,34,XLF,STT,Sell,2.81515605486667,XLF
188,57,XLF,GL,Sell,2.4678525896413874,XLF
189,20,XLF,COF,Buy,2.273073495681153,XLF
190,30,XLF,DFS,Buy,1.696040025746704,XLF
191,12,XLF,CME,Sell,1.6418912753251886,XLF
192,32,XLF,TROW,Buy,-0.5159151106092377,XLF
193,54,XLF,MKTX,Sell,-0.7120774247802217,XLF
194,4,XLF,MS,Buy,-1.407593170634184,XLF
195,19,XLF,MCO,Buy,-4.304344292032377,XLF
196,20,XLV,REGN,Buy,25.2367217292841,XLV
197,37,XLV,MTD,Buy,22.77469974664286,XLV
198,24,XLV,MRNA,Buy,22.190408754326647,XLV
199,27,XLV,MCK,Buy,19.55756679082972,XLV
200,13,XLV,ELV,Buy,18.92868267178505,XLV
201,3,XLV,ABBV,Buy,18.203492836450813,XLV
202,29,XLV,HCA,Buy,15.394963318902178,XLV
203,1,XLV,JNJ,Sell,14.95151459940036,XLV
204,46,XLV,MOH,Sell,13.88175864456336,XLV
205,0,XLV,UNH,Sell,13.81177372985956,XLV
206,4,XLV,LLY,Buy,13.61091559432743,XLV
207,6,XLV,TMO,Buy,12.296683981567291,XLV
208,25,XLV,BSX,Buy,11.995208254958172,XLV
