,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
DDOG,1.20441,,199.51724,,36106489856.0,-0.144,0.58,2.52,37.693813,1192.419,338123136.0,72.387,,0.021979999,3.233,148.02,0.0021,0.828,3.329,115.72
IDXX,1.124308,,42.128586,45.472584,33614727168.0,8.718,9.41,4.45,44.582767,33.32,504059264.0,200.624,-0.034,0.31726998,0.69,506.14,1.09366,0.076,1.122,396.43
BIIB,0.386547,,11.926065,21.629637,32461883392.0,10.217,18.53,-1.9,3.1125352,9.7,2103849984.0,63.653,1.421,0.32916,1.355,234.25,0.13647,-0.067,1.941,220.99
PCAR,0.88676,0.0149,13.885926,18.671316,32540901376.0,5.02,6.75,1.17,2.8719819,12.979,14790537216.0,94.606,0.466,0.117910005,1.068,92.82,0.18620001,0.225,1.427,93.73
VRSK,0.83908,0.0064999997,33.924747,47.39953,32694728704.0,4.28,5.98,3.54,12.064105,23.976,692499968.0,146.254,2.039,0.45935002,0.387,199.92,0.36865002,0.068,0.466,202.87
SGEN,0.598126,,-195.56322,,31111118848.0,-1.838,-0.87,-1.3,9.82673,-46.906,,,,-0.37522998,3.041,176.3,-0.23396,0.281,3.041,170.14
CPRT,1.111536,,28.132036,31.318071,30827325440.0,4.15,4.62,1.26,8.125665,19.879,521612512.0,12.061,-0.025,0.43772,4.042,156.43,0.28474,0.281,5.472,129.97
ROST,0.991485,0.0153,16.813433,20.183651,31842099200.0,4.465,5.36,0.53,8.002131,11.922,-223502496.0,139.531,-0.276,0.13465999,1.113,96.35,0.41120997,-0.041,1.876,90.12
FAST,1.252873,0.0241,32.242775,36.22078,32082591744.0,1.54,1.73,4.1,10.820561,19.566,375775008.0,24.035,0.196,0.23366,1.592,48.43,0.34042,0.18,3.713,55.78
LCID,,,-16.513275,,30721265664.0,-12.567,-1.13,0.23,6.3232803,-15.725,-1147267584.0,57.578,,0.0,10.534,29.98,-0.94324,183.265,11.455,18.66
BIDU,0.797786,,15.700225,23.127369,49560276992.0,6.069,8.94,67.7,0.23058182,-1.058,19963125760.0,40.661,,0.21309,2.795,241.69,-0.07835,0.01,3.102,140.36
JD,0.448275,,27.296652,22.189808,94297374720.0,2.571,2.09,60.91,0.41155678,1.407,20225822720.0,20.776,,0.01051,0.9,83.67,-0.048249997,0.18,1.321,57.05
ZM,-0.604963,,25.061785,29.104437,32636411904.0,3.763,4.37,2.1,6.380797,22.171,1513508480.0,1.701,-0.502,0.27127,3.433,152.02,0.24885,0.123,3.629,109.52
EBAY,1.182205,0.0183,10.938053,2.704447,30949636096.0,18.281,4.52,1.42,2.8592908,9.384,2714874880.0,127.02,,0.31778,1.262,56.24,-0.3058,-0.059,1.475,49.44
SIRI,0.935717,0.013200001,19.941177,88.05195,27116544000.0,0.077,0.34,2.55,,14.104,1326499968.0,,-0.3,0.28725,0.273,7.22,,0.044,0.393,6.78
ZS,1.089977,,196.3871,,25584576512.0,-2.172,0.93,4.33,48.240887,-75.298,425368000.0,189.099,,-0.29224002,2.117,217.01,-0.71876997,0.626,2.243,182.64
ANSS,1.265219,,35.84005,53.510723,24829587456.0,5.318,7.94,2.83,5.719425,37.175,476885504.0,20.398,-0.012,0.3348,2.174,312.0,0.10694,0.17,2.285,284.57
CEG,,0.0085,,,,,,,,5.679,2552375040.0,50.578,,0.23438999,0.716,68.27,0.0639,0.006,1.363,81.5
ALGN,1.768412,,21.535023,31.148954,22788546560.0,9.278,13.42,0.72,6.4798207,21.553,173021248.0,2.732,-0.427,0.24683,1.015,375.64,0.17728001,-0.041,1.317,289.0
VRSN,0.9851,,32.753647,37.25161,22447753216.0,5.425,6.17,3.86,,22.241,649020032.0,,0.174,0.69343,0.934,195.5,,0.068,0.995,202.09
PDD,0.960521,,36.148148,,61160550400.0,-0.035,1.35,27.57,0.8994231,-1.247,15772446720.0,19.476,,0.15594,1.282,71.32,0.19097,0.073,1.885,48.8
MTCH,1.235441,,26.344963,36.077496,19241287680.0,1.884,2.58,1.8,,25.052,1184474496.0,,0.046,0.30833,1.026,108.1,,0.196,1.149,67.97
SPLK,1.34653,,-85.6791,,18230335488.0,-8.24,-1.34,-10.81,102.60054,-21.352,863313984.0,,,-0.31855,1.286,133.05,-4.01268,0.343,1.452,114.81
SWKS,1.163899,0.020599999,8.811966,12.643255,18756540416.0,8.97,12.87,0.82,3.5390859,9.228,608875008.0,46.359,-0.046,0.39359,2.258,141.71,0.27668,0.14,3.984,113.41
NTES,0.45679,0.0128,18.94433,32.67425,63058714624.0,2.812,4.85,,0.72949004,-0.556,13733776384.0,25.403,0.015,0.23025,2.082,,0.16787,0.148,2.3,91.88
OKTA,1.051936,,-212.55103,,16199907328.0,-4.814,-0.49,-3.55,2.7055464,-20.827,649362368.0,43.606,,-0.5061,2.323,153.19,-0.31903,0.653,2.446,104.15
DOCU,1.208566,,34.57674,,14710174720.0,-0.576,2.15,1.87,61.387283,2537.818,759985472.0,249.865,,0.00225,0.954,88.81,-0.30056,0.255,1.014,74.34
