,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
UNP,1.167305,0.0229,21.023726,25.629353,153808093184.0,9.335,11.38,1.33,11.077928,14.534,4168375040.0,264.485,0.077,0.51315,0.481,240.85,0.50709,0.139,0.662,239.25
NKE,1.005534,0.0106,23.672197,29.947506,180599750656.0,3.81,4.82,2.43,12.098399,23.937,2899000064.0,82.632,-0.043,0.16089001,1.646,139.1,0.43112,-0.009,2.629,114.1
AMD,1.940825,,29.377247,30.265268,118490693632.0,3.242,3.34,0.74,16.664402,30.612,3261874944.0,3.898,0.244,0.25736,1.83,128.3,0.10979,0.709,2.395,98.12
IBM,0.931885,0.0505,12.86796,25.088017,118798245888.0,5.283,10.3,1.54,5.3473735,13.489,6312374784.0,274.055,0.041,0.20374,0.675,142.79,0.2709,0.093,0.876,132.54
MDT,0.775223,0.0294,15.266234,27.116495,126442422272.0,3.468,6.16,1.33,2.4325514,14.772,4896625152.0,47.388,0.102,0.29378998,1.301,111.32,0.09702,-0.012,1.86,94.04
CVS,0.757769,0.023,12.6058035,18.196892,137616261120.0,5.729,8.27,2.52,1.8533005,10.177,14438750208.0,102.394,0.036,0.0626,0.542,117.02,0.10994001,0.114,0.881,104.25
COP,1.412941,0.0197,12.866667,27.219961,132369825792.0,3.687,7.8,0.31,3.0005682,5.397,10752749568.0,38.088,4.853,0.46444,1.287,123.4,0.27835,0.828,1.513,100.36
HON,1.082588,0.020399999,22.105791,25.548262,136658837504.0,7.77,8.98,2.31,7.659451,16.923,3413125120.0,110.32,-0.098,0.24304001,0.831,206.16,0.28083,0.016,1.196,198.51
LOW,1.247765,0.0219,15.672868,17.631464,136218165248.0,11.467,12.9,1.51,,10.666,5696000000.0,,0.093,0.14928001,0.185,236.7,,-0.031,1.173,202.18
AMT,0.458918,0.0211,50.173996,49.74578,124760678400.0,5.507,5.46,5.56,23.055883,28.426,4825950208.0,461.194,0.182,0.60933995,0.434,289.17,0.31094,0.163,0.499,273.95
