Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
KEY,1.231,0.042,12.508347,Infinity,19310192640.0,,1.56,,1.3453968,,,,,,,20.89412,0.0096700005,-0.602,,19.48,XLF,2024-11-29
FDS,0.752,0.0085,26.289001,35.300003,18639964160.0,13.9,18.68,,9.737255,23.675,555261760.0,82.338,0.374,0.37728,1.08,461.52176,0.30411,0.049,1.253,490.67,XLF,2024-11-29
SYF,1.593,0.0149,10.802819,8.768831,26288504832.0,7.7,6.47,,1.7807784,,,,0.256,,,63.53476,0.21279,0.116,,67.52,XLF,2024-11-29
PFG,1.203,0.0335,10.340295,,19919747072.0,-0.74,8.44,,1.7770205,-1154.536,1036400000.0,36.258,,-0.00107,0.549,89.91667,-0.01274,-0.345,1.573,87.09,XLF,2024-11-29
BRO,0.825,0.0053,27.65058,30.817438,32341852160.0,3.67,4.09,,5.0042033,23.056,760512512.0,58.92,0.33,0.33525002,0.601,112.49091,0.18144,0.099,1.146,113.1,XLF,2024-11-29
WRB,0.621,0.0047,14.931726,16.551283,24598003712.0,3.9,4.35,,2.920154,,3352101376.0,36.284,0.096,,0.232,63.85714,0.20537001,0.122,0.397,64.55,XLF,2024-11-29
CBOE,0.666,0.0116,23.671398,29.407356,22596472832.0,7.34,9.18,,5.369003,18.299,751675008.0,38.137,0.049,0.32622,0.511,215.13333,0.19518,0.162,1.388,215.85,XLF,2024-11-29
SBNY,9.391,,0.0887372,0.062620424,81866200.0,20.76,14.65,,0.010107921,,,,0.106,,,,0.16867,0.14,,1.3,XLF,2024-11-29
L,0.818,0.0029,29.906897,11.533245,18783723520.0,7.52,2.9,,1.093957,7.132,1227500032.0,52.247,0.585,0.18778,0.502,,0.10669,0.138,0.502,86.73,XLF,2024-11-29
RE,,,,,,,,,,,,,,,,,,,,,XLF,2024-11-29
MKTX,1.053,0.0113,31.574244,35.052845,9753751552.0,7.38,8.23,,7.039758,22.763,321532256.0,5.424,0.301,0.50833,11.769,286.5,0.21625,0.2,14.216,258.69,XLF,2024-11-29
CMA,1.24,0.039300002,13.335474,18.0625,9501886464.0,4.0,5.48,,1.3754046,,,,-0.267,,,68.7781,0.09094,-0.096,,72.25,XLF,2024-11-29
AIZ,0.568,0.014099999,12.481109,16.20985,11647369216.0,14.01,17.92,,2.2201366,9.332,1712562560.0,39.627,-0.296,0.10564,0.143,228.75,0.15215,0.07,0.427,227.1,XLF,2024-11-29
GL,0.807,0.0086,8.20112,9.427118,9338053632.0,11.8,13.55,,2.0210388,8.207,1261007872.0,67.544,0.179,0.26114,0.479,132.2,0.23546,0.052,0.633,111.24,XLF,2024-11-29
ZION,1.06,0.028299998,12.364546,13.785877,8939469824.0,4.39,4.89,,1.5035652,,,,0.223,,,57.2,0.11863,0.076,,60.52,XLF,2024-11-29
LNC,1.783,0.0508,4.6249304,24.853148,6053990912.0,1.43,7.72,,0.75419647,29.705,-34723123200.0,71.918,,-0.06323,2.177,35.90909,0.05781,-0.01,4.47,35.54,XLF,2024-11-29
BEN,1.402,0.0547,8.756945,26.77647,11918684160.0,0.85,2.6,,0.9527398,8.511,-39787500.0,25.715,,0.19915001,1.307,19.85714,0.04321,0.113,4.62,22.76,XLF,2024-11-29
IVZ,1.424,0.045500003,9.606245,,8130369536.0,-0.91,1.89,,0.75674546,12.456,-7649512448.0,5.597,-0.401,0.17886,0.75,19.14062,-0.00944,0.051,4.424,18.09,XLF,2024-11-29
