Ticker,Beta,Dividend_Yield,Forward_PE,Trailing_PE,Market_Cap,Trailing_EPS,Forward_EPS,PEG_Ratio,Price_To_Book,EV_to_EBITDA,Free_Cash_Flow,Debt_to_Equity,Earnings_Growth,Ebitda_Margins,Quick_Ratio,Target_Mean_Price,Return_on_Equity,Revenue_Growth,Current_Ratio,Current_Price,ETF,date
CZR,2.962,,29.47167,,8178355712,-1.68,1.34,,1.953014,9.218,-217750000,599.43,,0.32544,0.561,53.08824,-0.063769996,-0.04,0.838,38.49,XLY,2024-11-29
NWL,0.88,0.0293,12.38586,,3989440000,-0.6,0.77,,1.3949091,9.823,751750016,196.259,,0.120120004,0.419,9.54545,-0.08286,-0.049,0.988,9.59,XLY,2024-11-29
CCL,2.668,,14.899663,21.735044,34123245568,1.17,1.72,,3.7479737,10.46,-506249984,352.355,0.615,0.24012,0.202,25.14591,0.20120001,0.152,0.296,25.43,XLY,2024-11-29
RCL,2.6,0.0066000004,16.958467,24.45491,65621635072,9.98,14.29,,9.314556,15.293,-1615020032,298.394,0.101,0.35142,0.087,234.97726,0.44263,0.175,0.19,244.06,XLY,2024-11-29
MHK,1.389,,12.516386,15.669301,8763129856,8.86,11.15,,1.1160147,7.069,486964512,32.986,,0.14331001,0.89,156.94,0.07457,-0.017,2.029,138.83,XLY,2024-11-29
BBWI,1.776,0.026099999,10.024176,8.882354,7848931840,4.08,3.52,,,7.385,629124992,,0.535,0.21235001,0.441,44.80895,,-0.021,1.113,36.24,XLY,2024-11-29
WYNN,1.802,0.0109,19.194942,11.330132,10364339200,8.33,5.02,,,11.038,-627324032,,,0.25658,1.019,114.95111,,0.013,1.528,94.38,XLY,2024-11-29
PENN,2.086,,30.238096,,3295259904,-3.52,0.78,,1.0540448,32.623,-187362496,369.728,,0.06629,0.789,22.70588,-0.16457,0.012,0.941,21.59,XLY,2024-11-29
NCLH,2.682,,12.82675,23.587719,11823748096,1.14,2.09,,10.414407,10.958,148069376,1240.664,0.373,0.24957001,0.088,29.4915,0.69788,0.107,0.195,26.89,XLY,2024-11-29
RL,1.504,0.0148,17.647593,22.059103,14369546240,10.49,13.02,,5.883699,13.97,793900032,109.237,0.007,0.15724,1.115,232.00667,0.28424,0.057,1.723,231.4,XLY,2024-11-29
PVH,2.115,0.0014,8.529888,8.6696005,6048573952,12.5,12.67,,1.1667116,7.369,749500032,68.71,0.677,0.13637,0.55,124.5625,0.14523,-0.06,1.237,108.37,XLY,2024-11-29
